standard,profile_file,speed_bin_mbps,density_gb,stack_height,mode,vendor,source,coverage
HBM3,hbm3/ramulator2_6400_16gb_8hi.cfg,6400,16,8,default,ramulator2_baseline,research_default,Ramulator2.1-derived HBM3 baseline until HBM3 JEDEC/vendor tables are supplied
HBM4,hbm4/jedec_8000_32gb_8hi.cfg,8000,32,8,full_stack_crc_off,JEDEC,JEDEC+research_default,core-visible JEDEC fragment plus research row defaults
HBM4,hbm4/ramulator2_8000_32gb_8hi.cfg,8000,32,8,differential_single_channel,ramulator2_baseline,research_default,Ramulator2.1-derived differential baseline; not device calibration
HBM4,hbm4/synthetic_vendor_9000_48gb_16hi.cfg,9000,48,16,full_stack_crc16_ras_test,synthetic_vendor,Vendor,synthetic vendor-like test profile; not real device data
LPDDR5,lpddr5/ramulator2_6400_16gb.cfg,6400,16,0,default,ramulator2_baseline,research_default,Ramulator2.1-derived LPDDR5 baseline until LPDDR5 JEDEC/vendor tables are supplied
LPDDR6,lpddr6/jedec_nominal_10667_16gb.cfg,10667,16,0,dvfsl_linkprot_off_bl24,JEDEC,JEDEC,nominal DVFSL/link-protection-off controller-visible table
LPDDR6,lpddr6/jedec_linkprot_eff_10667_16gb.cfg,10667,16,0,dvfsl_linkprot_on_eff_on_bl24,JEDEC,JEDEC,link-protection/efficiency branch fragment; CA parity off by default
LPDDR6,lpddr6/jedec_lowdvfs_4267_16gb.cfg,4267,16,0,dvfsl_low_bl24,JEDEC,JEDEC,low-rate DVFS BL24 controller-visible branch
LPDDR6,lpddr6/synthetic_vendor_10667_16gb_linkprot.cfg,10667,16,0,dvfsl_linkprot_on_eff_on_bl24_test,synthetic_vendor,Vendor,synthetic vendor-like link-protection test profile; not real device data
